 sid: 4 | sensor: O3 | value: 1.706 | timestamp: 2016-06-05 09:58:27
 sid: 4 | sensor: NO2 | value: 0.419 | timestamp: 2016-06-05 09:58:27
 sid: 4 | sensor: CO2 | value: 0.000 | timestamp: 2016-06-05 09:58:27
 sid: 4 | sensor: CO | value: 3.300 | timestamp: 2016-06-05 09:58:26
 sid: 4 | sensor: HUMB | value: 54.5 | timestamp: 2016-06-05 09:58:26
 sid: 4 | sensor: TCA | value: 21.29 | timestamp: 2016-06-05 09:58:26
 sid: 4 | sensor: ACC | value: 1000;-36;-72 | timestamp: 2016-06-05 09:58:26
 sid: 4 | sensor: BAT | value: 100 | timestamp: 2016-06-05 09:58:26
 sid: 1 | sensor: O3 | value: 1.732 | timestamp: 2016-06-05 09:58:17
 sid: 1 | sensor: NO2 | value: 0.403 | timestamp: 2016-06-05 09:58:17
 sid: 1 | sensor: CO2 | value: 1.706 | timestamp: 2016-06-05 09:58:17
 sid: 1 | sensor: CO | value: 3.300 | timestamp: 2016-06-05 09:58:15
 sid: 1 | sensor: HUMB | value: 46.9 | timestamp: 2016-06-05 09:58:15
 sid: 1 | sensor: TCA | value: 24.19 | timestamp: 2016-06-05 09:58:15
 sid: 1 | sensor: ACC | value: 300;0;1020 | timestamp: 2016-06-05 09:58:15
 sid: 1 | sensor: BAT | value: 93 | timestamp: 2016-06-05 09:58:15
 sid: 2 | sensor: O3 | value: 1.674 | timestamp: 2016-06-05 10:02:27
 sid: 2 | sensor: NO2 | value: 0.377 | timestamp: 2016-06-05 10:02:27
 sid: 2 | sensor: CO2 | value: 1.371 | timestamp: 2016-06-05 10:02:27
 sid: 2 | sensor: CO | value: 3.300 | timestamp: 2016-06-05 10:02:26
 sid: 2 | sensor: HUMB | value: 54.5 | timestamp: 2016-06-05 10:02:26
 sid: 2 | sensor: TCA | value: 21.29 | timestamp: 2016-06-05 10:02:26
 sid: 2 | sensor: ACC | value: 17;-3;1020 | timestamp: 2016-06-05 10:02:26
 sid: 2 | sensor: BAT | value: 63 | timestamp: 2016-06-05 10:02:26
 sid: 1 | sensor: O3 | value: 1.716 | timestamp: 2016-06-05 10:08:50
 sid: 1 | sensor: NO2 | value: 0.403 | timestamp: 2016-06-05 10:08:50
 sid: 1 | sensor: CO2 | value: 1.600 | timestamp: 2016-06-05 10:08:50
 sid: 1 | sensor: CO | value: 3.300 | timestamp: 2016-06-05 10:08:49
 sid: 1 | sensor: HUMB | value: 47.0 | timestamp: 2016-06-05 10:08:49
 sid: 1 | sensor: TCA | value: 23.87 | timestamp: 2016-06-05 10:08:49
 sid: 1 | sensor: ACC | value: 309;0;1023 | timestamp: 2016-06-05 10:08:49
 sid: 1 | sensor: BAT | value: 93 | timestamp: 2016-06-05 10:08:49
 sid: 4 | sensor: O3 | value: 1.710 | timestamp: 2016-06-05 10:09:00
 sid: 4 | sensor: NO2 | value: 0.416 | timestamp: 2016-06-05 10:09:00
 sid: 4 | sensor: CO2 | value: 0.000 | timestamp: 2016-06-05 10:09:00
 sid: 4 | sensor: CO | value: 3.300 | timestamp: 2016-06-05 10:08:59
 sid: 4 | sensor: HUMB | value: 53.3 | timestamp: 2016-06-05 10:08:59
 sid: 4 | sensor: TCA | value: 20.97 | timestamp: 2016-06-05 10:08:59
 sid: 4 | sensor: ACC | value: 1000;-40;-75 | timestamp: 2016-06-05 10:08:59
 sid: 4 | sensor: BAT | value: 100 | timestamp: 2016-06-05 10:08:59
